id	name	address	lat	lng	type	rating	comments	money	openhours	place
0	I'm pasta	106台北市大安區和平東路二段118巷50號	25.02251917	121.5427975	西式/飯/麵/雞/豬/牛	4.1	733	1	11:00-15:00 17:00-20:30	118巷
1	大李	106台北市大安區和平東路二段118巷54弄35號	25.0220732	121.5413483	中式/水餃/麵/豬/牛	3.8	533	1	一二三四五六 11:00-14:00 17:00-20:00 日 休息	118巷
2	親來	106台北市大安區和平東路二段118巷52弄14號	25.02236735	121.542319	中式/飯	4.1	421	1	暫停營業	118巷
3	二八	106台北市大安區和平東路二段118巷65-4號	25.0220283	121.5428937	中式/麵/豬	4	574		一二三四五六 11:00–15:00 17:00–20:00 日 休息	118巷
4	巷子口	106台北市大安區和平東路二段118巷48號	25.02264241	121.5428023	中式/麵/豬	4.3	705	1	二三四五 10:30–14:30 16:00–20:00 六 06:30-14:30 日一 休息	118巷
5	馬祖	106台北市大安區和平東路二段118巷49號1	25.02285272	121.5429051	中式/飯/麵/雞/豬	4	354	1	10:30-20:45	118巷
6	唯雞館	106台北市大安區和平東路二段118巷39號1樓	25.02327136	121.5429688	中式/飯/雞	4.8	251		一二三四五六 11:30-14:00 17:00-19:30 日 休息	118巷
7	合益佳	106台北市大安區和平東路二段118巷54弄7號	25.02207714	121.5425331	中式/飯/雞/豬/牛	4.1	440	1	一二三四五 11:00-14:00 16:00-20:50 六 11:00-14:00 日 休息	118巷
8	五九	106台北市大安區和平東路二段118巷59號	25.02247561	121.5429092	中式/麵/雞/牛	4.6	44	1	一二三四五六 11:00-15:00 16:30-20:30 日 休息	118巷
9	郭董	106台北市大安區和平東路二段118巷59號	25.02248668	121.5429038	中式/麵/牛/豬/雞	3.9	283	1	11:30–14:30 17:00–20:30	118巷
10	高和食堂	106台北市大安區和平東路二段118巷60號	25.02176991	121.5427479	日式/飯/麵	4.1	325		11:30–20:00	118巷
11	笑嘻嘻	106台北市大安區和平東路二段118巷59號			中式/炒飯/麵/豬	3.7	1036	1	11:00–14:30 17:00–21:00	118巷
12	李記		25.02206592	121.5427943	中式/水餃/麵/雞/豬/牛				一二三四五 11:00-14:00 17:00-20:00 六日 休息	118巷
13	蔥燉牛肉麵		25.02211684	121.5427681	中式/麵/牛/豬				一二三四五日 11:00-15:00 17:00-20:00 六 休息	118巷
14	格芮潘				西式/飯/麵/雞/豬/牛	3.5	446		11:00-14:30 16:30-21:00	118巷
15	控糖餐飲食堂	106台北市大安區和平東路二段118巷38號1樓	25.02311269	121.5427799	日式/飯/牛/豬	4	89		一二三四五六 11:00–14:00 17:00–20:00 日 休息	118巷
16	站時可以	100台北市中正區羅斯福路四段24巷12弄7號	25.01554275	121.5330095	中式/飯/雞/豬	4.7	562		11:30–21:30	公館
17	喜禾嘉				中式/飯/雞/豬	3.4	99		11:15–22:00	公館
